properties,building_id,total_pixels,valid_pixels,valid_pixel_pct,mean_pre_vv,mean_post_vv,mean_change_vv,median_change_vv,std_change_vv,mean_pre_vh,mean_post_vh,mean_change_vh,median_change_vh,std_change_vh
"{'osm_id': 257924701, 'osm_type': 'yes'}",cuddalore_bld_000011,4,4,100.0,-4.063023090362549,-2.4493088722229004,1.6137139797210693,1.5475846529006958,0.31599016372400024,-13.104741096496582,-13.58120346069336,-0.47646260261535645,0.6373500823974609,2.2042912590024706
"{'osm_id': 258047234, 'osm_type': 'yes'}",cuddalore_bld_000012,8,8,100.0,-6.256098747253418,-4.341541290283203,1.9145572185516357,1.567100167274475,2.5463673558828925,-13.804527282714844,-12.485273361206055,1.3192533254623413,0.7658448219299316,2.7989714840122124
"{'osm_id': 339687729, 'osm_type': 'commercial'}",cuddalore_bld_000013,13,13,100.0,1.8959789276123047,3.6275555537297177,1.7315766261174128,2.794160842895508,3.611232992697177,-4.15461672269381,-2.5917466970590444,1.56286987891564,1.3436033725738525,2.893519917667714
"{'osm_id': 339687730, 'osm_type': 'commercial'}",cuddalore_bld_000014,6,6,100.0,-4.858310063680013,-3.252032915751139,1.6062774658203125,2.254972457885742,2.910569555059707,-13.430816650390625,-10.529057820638021,2.901758829752604,3.3375349044799805,1.34474785598064
"{'osm_id': 339687731, 'osm_type': 'commercial'}",cuddalore_bld_000015,6,6,100.0,-0.4636746247609456,1.7895455360412598,2.253220240275065,3.5137534141540527,3.9797005379756674,-8.070869445800781,-6.4928538004557295,1.578015963236491,2.0801403522491455,2.6119364736543162
"{'osm_id': 339687732, 'osm_type': 'commercial'}",cuddalore_bld_000016,6,6,100.0,-0.6194173494974772,1.7727168401082356,2.392134189605713,3.3656930923461914,2.4121683718986215,-3.8145163853963218,-4.181590716044108,-0.3670744101206462,-0.2751937508583069,2.367305291543933
"{'osm_id': 360850957, 'osm_type': 'yes'}",cuddalore_bld_000017,11,11,100.0,-6.011742331764915,-3.3360110196200283,2.675730965354226,3.50703763961792,1.909432067779163,-12.252892234108664,-8.701711481267756,3.5511804060502485,2.6135482788085938,2.103161193983486
"{'osm_id': 360855002, 'osm_type': 'yes'}",cuddalore_bld_000018,8,8,100.0,-8.754002571105957,-8.90349006652832,-0.1494879126548767,-0.34047913551330566,1.0909033527227585,-13.11817455291748,-14.967601776123047,-1.8494278192520142,-0.9412879943847656,3.158316813414186
"{'osm_id': 360855003, 'osm_type': 'yes'}",cuddalore_bld_000019,9,9,100.0,-7.8884023030598955,-7.904665629069011,-0.01626329951816135,0.19184398651123047,3.1813919475559604,-15.263487074110243,-14.523174709743923,0.7403120464748807,-0.009387969970703125,2.629803195431994
"{'osm_id': 360855004, 'osm_type': 'yes'}",cuddalore_bld_000020,26,26,100.0,-8.324598459097055,-9.302495516263521,-0.9778977907620944,-0.5571451187133789,3.4551517837083945,-14.480025071364183,-13.13144742525541,1.3485789665809045,0.7941365242004395,4.264478899029716
"{'osm_id': 360855005, 'osm_type': 'yes'}",cuddalore_bld_000021,10,10,100.0,-3.5229034423828125,-2.519178771972656,1.0037247657775878,2.2376725673675537,3.192744150729584,-10.578816223144532,-9.304981231689453,1.273836040496826,-1.2334704399108887,3.7880429057662943
"{'osm_id': 360855006, 'osm_type': 'yes'}",cuddalore_bld_000022,7,7,100.0,-7.218047550746372,-4.126188005719866,3.0918592725481306,3.58957576751709,2.3192202312593606,-11.832460675920759,-12.322525024414062,-0.4900655746459961,-1.5260334014892578,2.1358120478576237
